Model,Support,Variantes,,
Galaxy A04s,Yes,"SM-A047M, SM-A047F",,
Galaxy A13,Yes,"SM-A137F, SM-A135N, SM-A135M, SM-A135F, SM-A135U1, SM-A135U",,
Galaxy A13 5G,Yes,"SM-A136M, SM-A136B, SM-A136S",,
Galaxy A14,Yes,"SM-A145MB, SM-A145FB",,
Galaxy A15,YES,"SM-A155F, SM-A155M, SM-A155N",,
Galaxy A15 5G,Yes,"SM-A1560, SM-A156E, SM-A156M, SM-S156V, SM-A156U, SM-A156W, SM-A156U1, SM-A156B, SM-A156L",,
Galaxy A23,Yes,"SM-A235F, SM-A235M, SM-A235N",,
Galaxy A23 5G,Yes,"SM-A2360, SM-A236B, SM-A236M, SM-A236E, SM-A236V, SM-A236U1, SM-S236DL, SM-A236U, SM-S237VL",,
Galaxy A23e 5G,Yes,"SC-56C, SM-A233C, SCG18",,
Galaxy A24,Yes,"SM-A245M, SM-A245F, SM-A245N",,
Galaxy A25 5G,Yes,"SM-A2560, SM-A256N, SM-A256E, SM-S256VL, SM-A256U1, SM-A256U, SM-A256B",,
Galaxy A33 5G,Yes,"SM-A336B, SM-A3360, SM-A336M, SM-A336N, SM-A336E",,
Galaxy A34 5G,Yes,"SM-A346B, SM-A346M, SM-A3460, SM-A346N, SM-A346E",,
Galaxy A35 5G,Yes,"SM-A356B, SM-A356E, SM-A3560, SM-A356W, SM-A356U, SM-A356U1, SM-S356V",,
Galaxy A52,Yes,"SM-A525F, SM-A525M",,
Galaxy A52 5G,Yes,"SM-A526B, SM-A5260, SM-A526U, SM-A526U1, SM-A526W, SC-53B",,
Galaxy A52s 5G,Yes,"SM-A528B, SM-A528N",,
Galaxy A53 5G,Yes,"SM-A536B, SM-A536E, SM-A5360, SM-A536W, SM-A536N, SCG15, SC-53C, SM-A536U, SM-A536V, SM-S536DL, SM-A536U1",,
Galaxy A54 5G,Yes,"SM-A546B, SM-A5460, SC-53D, SM-A546W, SM-A546S, SM-A546E, SCG21, SM-E546B, SM-A546V, SM-A546U1, SM-A546U, SM-S546VL",,
Galaxy A55 5G,Yes,"SM-A556B, SM-A556E, SM-A5560, SC-53E, SCG27",,
Galaxy A72,Yes,"SM-A725M, SM-A725F",,
Galaxy A73 5G,Yes,SM-A736B,,
Galaxy A82 5G,Yes,SM-A826S,,
Galaxy C55 5G,Yes,SM-C5560,,
Galaxy F13,Yes,SM-E135F,,
Galaxy F14 5G,Yes,SM-E146B,,
Galaxy F15 5G,Yes,SM-E156B,,
Galaxy F34 5G,Yes,SM-E346B,,
Galaxy F55 5G,Yes,SM-E556B,,
Galaxy M13,Yes,"SM-M135F, SM-M135FU, SM-M135M",,
Galaxy M13 5G,Yes,SM-M136B,,
Galaxy M14 5G,Yes,SM-M146B,,
Galaxy M15 5G,Yes,SM-M156B,,
Galaxy M23 5G,Yes,"SM-E236B, SM-M236B, SM-M236L, SM-M236Q",,
Galaxy M33 5G,Yes,"SM-M336B, SM-M336BU, SM-M336K",,
Galaxy M34 5G,Yes,"SM-M346B, SM-M346B2, SM-M346B1",,
Galaxy M35 5G,Yes,SM-M356B,,
Galaxy M44 5G,Yes,SM-M446K,,
Galaxy M53 5G,Yes,"SM-M536B, SM-M536S",,
Galaxy M54 5G,Yes,SM-M546B,,
Galaxy M55 5G,Yes,"SM-M556B, SM-M556E",,
Galaxy S21 5G,Yes,"SM-G991W, SM-G991B, SM-G991N, SM-G9910, SCG09, SM-G991U, SM-G991U1, SC-51B",,
Galaxy S21 FE 5G,Yes,"SM-G990B, SM-G990W2, SM-G990W, SM-G9900, SM-G990B2, SM-G990E, SM-G990U, SM-G990U2, SM-G990U1, SM-G990U3",,
Galaxy S21 Ultra 5G,Yes,"SM-G998W, SM-G998B, SM-G998N, SM-G9980, SM-G998U, SM-G998U1, SC-52B",,
Galaxy S21 5G,Yes,"SM-G996W, SM-G996B, SM-G996N, SM-G9960, SCG10, SM-G996U, SM-G996U1",,
Galaxy S22,Yes,"SM-S901B, SM-S901W, SM-S901N, SC-51C, SCG13, SM-S901E, SM-S901U, SM-S901U1, SM-S9010",,
Galaxy S22 Ultra,Yes,"SM-S908B, SM-S908W, SC-52C, SM-S908N, SM-S908E, SM-S908U, SM-S908U1, SM-S9080, SCG14",,
Galaxy S22,Yes,"SM-S906B, SM-S906W, SM-S906N, SM-S906E, SM-S906U, SM-S906U1, SM-S9060",,
Galaxy S23,Yes,"SM-S911BE, SM-S911B, SM-S911N, SM-S9110, SM-S911W, SM-S911U, SM-S911C, SC-51D, SCG19",,
Galaxy S23 FE,Yes,"SM-S711B, SM-S711N, SM-S711BE, SM-S711U, SM-S7110, SM-S711W, SM-S711U1, SCG24",,
Galaxy S23 Ultra,Yes,"SM-S918BE, SM-S918B, SM-S918N, SM-S918U1, SM-S9180, SM-S918W, SM-S918Q, SC-52D, SM-S918U, SCG20",,
Galaxy S23,Yes,"SM-S916B, SM-S916BE, SM-S916N, SM-S9160, SM-S916W, SM-S916U1, SM-S916U",,
Galaxy S24,Yes,"SM-S921N, SM-S9210, SM-S921BE, SM-S921U1, SM-S921U, SM-S921W, SM-S921B, SM-S921Q, SC-51E, SCG25",,
Galaxy S24 Ultra,Yes,"SM-S928U, SM-S928B, SM-S928N, SM-S9280, SM-S928BE, SM-S928U1, SM-S928W, SM-S928Q, SCG26, SC-52E",,
Galaxy S24,Yes,"SM-S926U, SM-S926N, SM-S9260, SM-S926BE, SM-S926U1, SM-S926W, SM-S926B",,
Galaxy Tab A7 Lite,Yes,"SM-T225C, SM-T225N, SM-T225, SM-T220, SM-T227, SM-T227U",,
Galaxy Tab A8,Yes,"SM-X205, SM-X205C, SM-X200, SM-X207",,
Galaxy Tab A9,Yes,"SM-X110, SM-X115N, SM-X117",,
Galaxy Tab A9 LTE,Yes,SM-X115,,
Galaxy Tab A9,Yes,SM-X210,,
Galaxy Tab A9 5G,Yes,"SM-X216C, SM-X218B, SM-X216B, SM-X216N, SM-X218U",,
Galaxy Tab Active4 Pro,Yes,"SM-T630, SM-T638B",,
Galaxy Tab Active4 Pro 5G,Yes,"SM-T636B, SM-T636N, SM-T638U",,
Galaxy Tab Active5,Yes,SM-X300,,
Galaxy Tab Active5 5G,Yes,"SM-X306B, SM-X308B, SM-X308U, SM-X306N",,
Galaxy Tab S6 Lite,Yes,"SM-P619N, SM-P613, SM-P619, SM-P625, SM-P620",,
Galaxy Tab S7 FE,Yes,"SM-T735C, SM-T737, SM-T735N, SM-T735, SM-T738U",,
Galaxy Tab S7 FE 5G,Yes,"SM-T736N, SM-T736B",,
Galaxy Tab S8,Yes,"SM-X706N, SM-X706C, SM-X700, SM-X706B",,
Galaxy Tab S8 Ultra,Yes,"SM-X906N, SM-X906C, SM-X906B, SM-X900",,
Galaxy Tab S8,Yes,"SM-X806N, SM-X806C, SM-X800, SM-X806E, SM-X806B",,
Galaxy Tab S9,Yes,SM-X710,,
Galaxy Tab S9 5G,Yes,"SM-X716B, SM-X716N",,
Galaxy Tab S9 FE,Yes,SM-X510,,
Galaxy Tab S9 FE 5G,Yes,"SM-X516C, SM-X516B, SM-X516N, SM-X518U",,
Galaxy Tab S9 FE,Yes,SM-X610,,
Galaxy Tab S9 FE 5G,Yes,"SM-X616C, SM-X616B, SCT22, SM-X616N",,
Galaxy Tab S9 Ultra,Yes,SM-X910,,
Galaxy Tab S9 Ultra 5G,Yes,"SM-X916N, SM-X916C, SM-X916B",,
Galaxy Tab S9,Yes,SM-X810,,
Galaxy Tab S9 5G,Yes,"SM-X816N, SM-X816B, SM-X818U",,
Galaxy XCover5,Yes,"SM-G525F, SM-G525N",,
Galaxy XCover6 Pro,Yes,"SM-G736B, SM-G736U, SM-G736W",,
Galaxy XCover7,Yes,SM-G556B,,
Galaxy Z Flip3 5G,Yes,"SM-F711N, SM-F711W, SM-F711B, SM-F711U, SM-F711U1, SM-F7110, SC-54B, SCG12",,
Galaxy Z Flip4 5G,Yes,"SM-F721BE, SM-F721W, SM-F721U, SM-F721N, SM-F7210, SCG17, SC-54C, SM-F721B, SM-F721C, SM-F721U1",,
Galaxy Z Flip5,Yes,"SM-F731Q, SC-54D, SM-F731W, SCG23, SM-F731U, SM-F731U1, SM-F731N, SM-F731B, SM-F731BE, SM-F7310",,
Galaxy Z Fold3 5G,Yes,"SM-F926N, SM-F926W, SCG11, SC-55B, SM-F926B, SM-F926U, SM-F926U1, SM-F9260",,
Galaxy Z Fold4 5G,Yes,"SM-F936N, SM-F9360, SM-F936W, SM-F936U, SM-F936U1, SM-F936BE, SM-F936B, SCG16, SC-55C",,
Galaxy Z Fold5,Yes,"SM-F946Q, SC-55D, SM-F946N, SM-F9460, SM-F946W, SM-F946BE, SM-F946B, SM-F946U1, SM-F946U, SCG22",,
W22 5G,Yes,SM-W2022,,
W23,Yes,SM-W9023,,
W23 Flip,Yes,SM-W7023,,
W24,Yes,SM-W9024,,
W24 Flip,Yes,SM-W7024,,
Galaxy A12,Yes,"SM-A127M, SM-A127F",,
Galaxy A13 5G,Yes,"SM-A136U, SM-A136W, SM-A136U1, SM-S136DL",,
Galaxy A22,Yes,"SM-A225M, SM-A225F",,
Galaxy A22e 5G,Yes,SC-56B,,
Galaxy A32,Yes,"SM-A325M, SM-A325F, SM-A325N",,
Galaxy A32 5G,Yes,"SM-A326K, SM-A326BR, SM-A326B, SM-A326U, SM-A326W, SCG08, SM-S326DL, SM-A326U1",,
Galaxy A42 5G,Yes,"SM-A426N, SM-S426DL, SM-A426U1, SM-A426U",,
Galaxy A51,Yes,"SM-A515F, SM-A515U, SM-A515W, SM-A515U1, SM-S515DL",,
Galaxy A51 5G,Yes,"SM-A516N, SM-A516B, SM-A5160, SM-A516V, SCG07, SC-54A, SM-A516U, SM-A516U1",,
Galaxy A71,Yes,"SM-A715F, SM-A715W",,
Galaxy A71 5G,Yes,"SM-A716B, SM-A7160, SM-A716S, SM-A716U, SM-A716V, SM-A716U1",,
Galaxy F12,Yes,SM-F127G,,
Galaxy F22,Yes,SM-E225F,,
Galaxy F62,Yes,SM-E625F,,
Galaxy M12,Yes,"SM-M127G, SM-M127N, SM-M127F",,
Galaxy M22,Yes,SM-M225FV,,
Galaxy M32,Yes,"SM-M325F, SM-M325FV",,
Galaxy M32 5G,Yes,SM-M326B,,
Galaxy M42 5G,Yes,SM-M426B,,
Galaxy M52 5G,Yes,"SM-M526BR, SM-M526B",,
Galaxy M62,Yes,SM-M625F,,
Galaxy Note10 Lite,Yes,SM-N770F,,
Galaxy Note20,Yes,SM-N980F,,
Galaxy Note20 5G,Yes,"SM-N981W, SM-N981N, SM-N981U, SM-N981BR, SM-N981B, SM-N9810, SM-N981U1",,
Galaxy Note20 Ultra 5G,Yes,"SM-N986N, SM-N986BR, SM-N986U, SM-N986B, SCG06, SM-N986W, SM-N986U1, SC-53A",,
Galaxy Note20 Ultra 5G,Yes,"SM-N9860, SM-N985F",,
Galaxy S10 Lite,Yes,"SM-G770F, SM-G770U1",,
Galaxy S20,Yes,SM-G980F,,
Galaxy S20 5G,Yes,"SM-G981U, SM-G981N, SM-G981B, SM-G981V, SM-G981W, SM-G9810, SM-G981U1, SCG01",,Less Chance
Galaxy S20 5G,Yes,"SC51Aa, SC-51A",,
Galaxy S20 FE,Yes,"SM-G780F, SM-G780G",,
Galaxy S20 FE 5G,Yes,"SM-G781V, SM-G781U, SM-G781N, SM-G781B, SM-G781W, SM-G7810, SM-G781U1",,
Galaxy S20 Ultra,Yes,"SM-G988BR, SM-G9880, SM-G988W, SM-G988U1, SCG03",,
Galaxy S20 Ultra,Yes,"SM-G988U, SM-G988N, SM-G988B",,
Galaxy S20,Yes,SM-G985F,,
Galaxy S20 5G,Yes,"SM-G986U, SM-G986N, SM-G986BR, SM-G986B, SM-G986W, SM-G986U1, SM-G9860, SCG02, SC-52A",,
Galaxy S23,Yes,SM-S911U1,,
Galaxy Tab A8,Yes,SM-X205N,,
Galaxy Tab Active3,Yes,"SM-T577, SM-T575N, SM-T570, SM-T575, SM-T577U",,
Galaxy Tab S6 Lite,Yes,"SM-P610, SM-P615, SM-P617, SM-P615N, SM-P615C",,
Galaxy Tab S7,Yes,"SM-T875N, SM-T875, SM-T870, SM-T878U",,
Galaxy Tab S7 FE,Yes,SM-T733,,
Galaxy Tab S7,Yes,"SM-T975N, SM-T976N, SM-T975, SM-T976B, SM-T970, SM-T978U",,
Galaxy Tab S8,Yes,SM-X808U,,
Galaxy XCover Pro,Yes,"SM-G715U1, SM-G715U, SM-G715W, SM-G715FN, SM-G715A",,
Galaxy XCover6 Pro,Yes,SM-G736U1,,
Galaxy Z Flip,Yes,"SM-F700J, SM-F700N, SM-F700U, SM-F700U1, SM-F700F, SM-F7000, SM-F700W, SCV47",,
Galaxy Z Flip 5G,Yes,"SM-F707N, SM-F707U, SM-F707B, SM-F7070Y, SM-F7070, SM-F707W, SM-F707U1, SCG04",,
Galaxy Z Fold2,Yes,SM-F916B,,
Galaxy Z Fold2 5G,Yes,"SM-F916N, SM-F916U, SM-F9160, SM-F916W, SM-F916Q, SCG05, SM-F916U1",,
W21 5G,Yes,SM-W2021,,
Galaxy A12,Yes,"SM-A125M, SM-A125F, SM-A125W, SM-A125N, SM-A125U, SM-S127DL, SM-A125U1",,
Galaxy A21,Yes,"SM-A217N, SM-A217M",,Less chance
Galaxy A21s,Yes,SM-A217F,,Less chance
Galaxy A23 5G,Yes,"SM-A233D, SM-A233J",,
Galaxy A31,Yes,"SM-A315N, SM-A315F, SM-A315G",,
Galaxy A41,Yes,"SM-A415F, SCV48, SC-41A",,
Galaxy A42 5G,Yes,"SM-A4260, SM-A426B",,
Galaxy A90 5G,Yes,"SM-A908B, SM-A908N, SM-A9080",,
Galaxy Fold,Yes,"SM-F900F, SM-F900U, SM-F9000, SCV44, SM-F900U1, SM-F907N, SM-F900W",,
Galaxy Fold 5G,Yes,SM-F907B,,
Galaxy M31s,Yes,SM-M317F,,
Galaxy M51,Yes,SM-M515F,,
Galaxy Note10,Yes,"SM-N970U, SM-N970F",,
Galaxy Note10,Yes,"SM-N9700, SM-N970W, SM-N970U1",,
Galaxy Note10 5G,Yes,SM-N971N,,
Galaxy Note10,Yes,"SM-N975U, SM-N975F, SM-N975W, SM-N975U1, SC-01M, SM-N975C, SCV45, SM-N9750",,
Galaxy Note10 5G,Yes,SM-N9760,,
Galaxy Note10 5G,Yes,"SM-N976V, SM-N976B, SM-N976U, SM-N976N, SM-N976Q",,
Galaxy S10,Yes,SM-G9730,,
Galaxy S10,Yes,"SM-G973F, SM-G973U, SM-G973N, SM-G9738, SM-G973W, SM-G973C, SM-G973U1, SC-03L, SCV41",,
Galaxy S10 5G,Yes,"SM-G977B, SM-G977P, SM-G977T, SM-G977N, SM-G977U",,
Galaxy S10,Yes,SM-G9750,,
Galaxy S10,Yes,"SM-G975F, SM-G975FC, SM-G975U, SM-G975UC, SM-G975N, SM-G975NC, SM-G9750C, SM-G9758, SM-G975WC, SM-G975W, SM-G975U2, SM-G975U1, SC-05L, SCV42, SC-04L",,
Galaxy S10e,Yes,"SM-G970F, SM-G970N, SM-G970U, SM-G9708, SM-G970W, SM-G970U1",,
Galaxy S10e,Yes,SM-G9700,,
Galaxy Tab A7,Yes,"SM-T503, SM-T509",,
Galaxy Tab A7,Yes,"SM-T507, SM-T505N, SM-T505C, SM-T500, SM-T505",,
Galaxy Tab Motor,Yes,SM-T260,,
Galaxy Tab S6,Yes,"SM-T865N, SM-T867U, SM-T867R4",,
Galaxy Tab S6,Yes,"SM-T860, SM-T865, SM-T867, SM-T867V",,
Galaxy Tab S6 5G,Yes,SM-T866N,,
W20 5G,Yes,SM-W2020,,
Galaxy Tab Active Pro,Yes,"SM-T545, SM-T540, SM-T547, SM-T547U",,
Galaxy XCover4s,Yes,SM-G398FN,,
Galaxy A10,Yes,"SM-A105N, SM-A105FN, SM-A105F, SM-A105G, SM-A105M",,
Galaxy A10e,Yes,"SCV49, SC-42A, SM-A102N, SM-A102U, SM-A102W, SC-02M, SCV46, SM-A102U1, SM-S102DL",,
Galaxy A20,Yes,"SM-A205FN, SM-A205S, SM-A205YN, SM-A205G, SM-A205GN, SM-A205F, SM-A205U, SM-A205W, SM-A205U1, SM-S205DL",,
Galaxy A20e,Yes,"SM-A202F, SM-A202K",,
Galaxy A30,Yes,"SM-A305FN, SM-A305GT, SM-A305YN, SM-A3058, SM-A3050, SM-A305G, SM-A3051, SM-A305F, SM-A305GN, SM-A305N",,
Galaxy A30s,Yes,"SM-A307FN, SM-A307G, SM-A307GN, SM-A307GT",,
Galaxy A40,Yes,"SM-A405FN, SM-A405FM, SM-A405S",,
Galaxy A50,Yes,"SM-A505GT, SM-A505G, SM-A505GN, SM-A505YN, SM-A505F, SM-A505FM, SM-A505FN, SM-A505U, SM-A505N, SM-A505W, SM-S506DL, SM-A505U1",,
Galaxy A50s,Yes,"SM-A507FN, SM-A5070",,
Galaxy A60,Yes,"SM-A6060, SM-A606Y",,
Galaxy A70,Yes,"SM-A705FN, SM-A705U, SM-A705YN, SM-A705W, SM-A705GM, SM-A7050, SM-A705F, SM-A705MN",,
Galaxy A70s,Yes,"SM-A7070, SM-A707F",,
Galaxy A80,Yes,"SM-A805N, SM-A8050, SM-A805F",,
Galaxy Haechi,Yes,SM-G889G,,
Galaxy M10s,Yes,SM-M107F,,
Galaxy Tab A 101 2019,Yes,"SM-T510, SM-T515, SM-T517, SM-T515N, SM-T517P",,
Galaxy Tab A 8 Plus 2019,Yes,SM-P200,,
Galaxy Tab A 84 2020,Yes,SM-T307U,,
Galaxy Tab A Plus 8 2019,Yes,SM-P205,,
Galaxy Tab S5e,Yes,"SM-T725N, SM-T727A, SM-T727, SM-T720, SM-T725, SM-T725C, SM-T727V, SM-T727U, SM-T727R4",,
Galaxy Tab S7 FE,Yes,SM-T730,,
Galaxy A01,No,"SM-S111DL, SM-A015V, SM-A015U1, SM-A015U, SM-A015T1, SM-A015AZ, SM-A015A, SM-A015F, SM-A015G, SM-A015M",,
Galaxy A02,No,"SM-M022G, SM-M022M, SM-A022G, SM-M022F, SM-A022F, SM-A022M",,
Galaxy A02s,No,"SM-A025M, SM-M025F, SM-A025F, SM-A025G, SM-E025F, SM-A025U1, SM-A025V, SM-A025AZ, SM-A025U, SM-A025A, SM-S124DL",,
Galaxy A03,No,"SM-A035F, SM-A035M, SM-A035G",,
Galaxy A03s,No,"SM-A037F, SM-A037M, SM-A037G, SM-A037U, SM-A037U1, SM-A037W, SM-S134DL, SM-S135DL",,
Galaxy A04,No,"SM-A045M, SM-A045F",,
Galaxy A04e,No,"SM-A042M, SM-A042F",,
Galaxy A05,No,"SM-A055M, SM-A055F",,
Galaxy A05s,No,"SM-A057F, SM-A057G, SM-A057M",,
Galaxy A10s,No,"SM-A107F, SM-A107M, SM-M017F",,
Galaxy A11,No,"SM-A115M, SM-A115F, SM-A115W, SM-A115AP, SM-A115A, SM-A115AZ, SM-A115U1, SM-A115U, SM-S115DL",,
Galaxy A14,No,"SM-A145M, SM-A145F, SM-A145P, SM-A145R",,
Galaxy A14 5G,No,"SM-A146W, SM-A146U, SM-A146U1, SM-A146M, SM-A146B, SM-A146P, SM-S146VL",,
Galaxy A20s,No,"SM-A2070, SM-A207M, SM-A207F",,
Galaxy A21,No,"SM-A215W, SM-S215DL, SM-A215U1, SM-A215U",,
Galaxy A22 5G,No,"SM-A226B, SM-A226L, SM-A226BR",,
Galaxy A6s,No,SM-G6200,,
Galaxy F04,No,SM-E045F,,
Galaxy F42 5G,No,"SM-E426S, SM-E426B",,
Galaxy F52 5G,No,SM-E5260,,
Galaxy Haechi,Yes,SM-G889F,,
Galaxy J1 Mini Prime,No,SM-J106F,,
Galaxy J2 2018,No,SM-J250N,,
Galaxy J3 2016,No,SM-J320F,,
Galaxy M01,No,"SM-M015G, SM-M015F",,
Galaxy M04,No,SM-M045F,,
Galaxy M10,No,"SM-M105F, SM-M105G, SM-M105M, SM-M105Y",,
Galaxy M11,No,"SM-M115M, SM-M115F",,
